"","Job","University","Freq"
"447","Cogniance"," IT Academy Moscow",0
"448","EPAM"," IT Academy Moscow",0
"449","Freelancer"," IT Academy Moscow",0
"450","GlobalLogic"," IT Academy Moscow",0
"451","Indigo"," IT Academy Moscow",0
"452","Iteazer"," IT Academy Moscow",0
"453","Lesoft"," IT Academy Moscow",0
"454","LLC"," IT Academy Moscow",0
"455","Lohika"," IT Academy Moscow",0
"456","Luxoft"," IT Academy Moscow",0
"457","Microsoft"," IT Academy Moscow",0
"458","Mirantis"," IT Academy Moscow",0
"459","MMCIS"," IT Academy Moscow",0
"460","NAS"," IT Academy Moscow",0
"461","NBU"," IT Academy Moscow",0
"462","NefteGaz"," IT Academy Moscow",0
"463","Oracle"," IT Academy Moscow",0.015625
"464","Playtech"," IT Academy Moscow",0
"465","PRISM"," IT Academy Moscow",0
"466","Privat Bank"," IT Academy Moscow",0
"467","ProCredit Bank"," IT Academy Moscow",0
"468","Rvuzov"," IT Academy Moscow",0
"469","Samsung"," IT Academy Moscow",0
"470","SoftServe"," IT Academy Moscow",0
"471","Some"," IT Academy Moscow",0
"472","Taltek"," IT Academy Moscow",0
"473","Tartu"," IT Academy Moscow",0
"474","Terrasoft"," IT Academy Moscow",0
"475","Theorem"," IT Academy Moscow",0
"476","TNS"," IT Academy Moscow",0
"477","Ubisoft"," IT Academy Moscow",0
"478","Viasoft Ltd"," IT Academy Moscow",0
"479","Vlasov"," IT Academy Moscow",0
"480","WinInteractive"," IT Academy Moscow",0
"481","4A Games"," Karaganda",0
"482","Agralp"," Karaganda",0
"483","Akvelon"," Karaganda",0
"484","Alpha Bank"," Karaganda",0
"485","Appko"," Karaganda",0
"486","Ciklum"," Karaganda",0
"487","Cogniance"," Karaganda",0
"488","EPAM"," Karaganda",0
"489","Freelancer"," Karaganda",0
"490","GlobalLogic"," Karaganda",0
"491","Indigo"," Karaganda",0
"492","Iteazer"," Karaganda",0
"493","Lesoft"," Karaganda",0
"494","LLC"," Karaganda",0
"495","Lohika"," Karaganda",0
"496","Luxoft"," Karaganda",0
"497","Microsoft"," Karaganda",0
"498","Mirantis"," Karaganda",0
"499","MMCIS"," Karaganda",0
"500","NAS"," Karaganda",0.015625
"501","NBU"," Karaganda",0
"502","NefteGaz"," Karaganda",0
"503","Oracle"," Karaganda",0
"504","Playtech"," Karaganda",0
"505","PRISM"," Karaganda",0
"506","Privat Bank"," Karaganda",0
